RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
184.5622583	+27.5192639	    92	 0.02802101	 	12.120	11.590	10.710	10.030	 9.580	      	      	      	      	      	      	8061	184.56226	+27.51926
184.7407542	+27.8444500	    93	 0.02802102	 	11.511	11.358	10.737	10.197	 9.901	      	      	      	      	      	      	8074	184.74075	+27.84445
185.4676039	+28.1498900	    94	 0.02802108	 	11.350	10.760	 9.890	 9.180	 8.740	      	      	      	      	      	      	8097	185.46760	+28.14989
193.5000000	+27.9333333	    95	 0.02802164	 	11.710	11.290	10.550	 9.970	 9.630	      	      	      	      	      	      	8097	193.50000	+27.93333
300.5692667	+28.6641611	    96	 0.02803590	 	10.020	10.220	10.100	 9.920	      	      	      	      	      	      	      	8104	300.56927	+28.66416
327.7959258	+28.8639900	    97	 0.02804211	 	 9.640	 9.530	 9.210	 8.890	      	      	      	      	      	      	      	8083	327.79593	+28.86399
183.8322500	+29.1079139	    98	 0.02902270	 	11.630	10.720	 9.680	 8.930	 8.410	      	      	      	      	      	      	8061	183.83225	+29.10791
184.5209667	+29.0270806	    99	 0.02902277	 	12.380	11.380	10.280	 9.520	 8.970	      	      	      	      	      	      	8097	184.52097	+29.02708
185.7492417	+28.3166639	   100	 0.02902283	 	12.029	11.537	10.803	10.109	 9.740	      	      	      	      	      	      	8074	185.74924	+28.31666
186.3491125	+28.6389556	   101	 0.02902287	 	11.800	11.100	10.130	 9.380	 8.880	      	      	      	      	      	      	8097	186.34911	+28.63896
187.5446250	+28.4067000	   102	 0.02902294	 	11.007	10.519	 9.643	 8.895	 8.451	      	      	      	      	      	      	8074	187.54462	+28.40670
190.2753208	+28.3721167	   103	 0.02902315	 	12.770	11.860	10.780	 9.990	 9.460	      	      	      	      	      	      	8061	190.27532	+28.37212
190.5606292	+28.6035278	   104	 0.02902316	 	11.700	10.950	 9.990	 9.250	 8.760	      	      	      	      	      	      	8061	190.56063	+28.60353
191.3729542	+28.6069667	   105	 0.02902322	 	11.700	11.160	10.240	 9.510	 9.030	      	      	      	      	      	      	8061	191.37295	+28.60697
193.5888333	+28.7807000	   106	 0.02902337	 	12.040	11.350	10.390	 9.680	 9.170	      	      	      	      	      	      	8097	193.58883	+28.78070
005.8335417	+31.3295139	   107	 0.03000050	 	12.700	11.410	10.180	 9.230	      	      	      	      	      	      	      	8104	005.83354	+31.32951
066.4592458	+30.3726111	   108	 0.03000663	 	11.090	10.820	10.290	 9.820	      	      	      	      	      	      	      	8104	066.45925	+30.37261
126.1347875	+30.1128861	   109	 0.03001705	 	10.930	10.690	 9.980	 9.340	      	      	      	      	      	      	      	8104	126.13479	+30.11289
184.1402458	+29.7035667	   110	 0.03002249	 	11.710	11.450	10.760	10.240	 9.920	      	      	      	      	      	      	8061	184.14025	+29.70357
187.1065042	+29.8984361	   111	 0.03002276	 	12.060	11.540	10.670	10.000	 9.560	      	      	      	      	      	      	8061	187.10650	+29.89844
187.1146375	+29.8784111	   112	 0.03002277	 	11.080	10.770	10.030	 9.420	 9.070	      	      	      	      	      	      	8061	187.11464	+29.87841
188.9429125	+30.1925778	   113	 0.03002298	 	11.250	10.490	 9.550	 8.800	 8.310	      	      	      	      	      	      	8061	188.94291	+30.19258
190.5521708	+29.7437056	   114	 0.03002315	 	12.110	11.020	 9.950	 9.100	 8.580	      	      	      	      	      	      	8061	190.55217	+29.74371
191.0355050	+30.1516136	   115	 0.03002318	 	11.650	10.800	 9.800	 9.000	 8.490	      	      	      	      	      	      	8061	191.03550	+30.15161
191.7779625	+29.4546028	   116	 0.03002326	 	11.920	11.130	10.180	 9.410	 8.910	      	      	      	      	      	      	8061	191.77796	+29.45460
193.0306750	+29.6526556	   117	 0.03002336	 	13.040	12.180	11.200	10.460	 9.920	      	      	      	      	      	      	8061	193.03067	+29.65266
