#DM	RA	Dec	U	B1	B	B2	V2	V1	V	G
          	4.0175	19.8725	15.399	14.517	13.238	14.344	-99.999	13.052	12.267	13.214
-23.00070 	3.99208	-22.4275	11.13	10.843	9.721	10.969	-99.999	10.51	 9.755	10.766
-08.26066 	3.94917	-67.9939	14.286	13.259	11.824	12.868	-99.999	11.748	10.909	11.724
+42.00041 	4.08708	43.6058	6.75	6.141	5.234	6.703	-99.999	6.813	 6.111	7.29
-19.00027 	4.04458	-18.3108	11.714	11.541	10.478	11.807	-99.999	11.417	10.667	11.706
-32.00072 	4.03542	-31.4442	9.159	7.96	6.404	7.413	-99.999	6.454	 5.649	6.531
-28.00061 	4.06292	-27.7775	10.537	10.28	9.185	10.484	-99.999	10.087	 9.335	10.371
-47.00051 	4.09458	-46.7108	14.054	13.147	11.684	12.697	-99.999	11.88	11.047	11.867
-74.00018 	4.0125	-74.0108	10.427	10.126	9.098	10.441	-99.999	10.14	 9.406	10.466
-76.00019 	3.99583	-75.9108	8.69	8.027	6.755	7.921	-99.999	7.252	 6.486	7.455
+07.00027 	4.16042	8.23917	8.183	7.574	6.319	7.497	-99.999	6.886	 6.120	7.117
-80.00007 	3.96458	-79.8608	8.064	7.714	6.552	7.802	-99.999	7.338	 6.582	7.595
-21.28009 	4.13917	-50.2775	15.831	14.842	13.357	14.372	-99.999	13.173	12.377	13.227
+40.00045 	4.26083	40.9392	12.157	11.229	9.752	10.729	-99.999	9.806	 8.976	9.783
-47.00055 	4.19375	-46.5775	8.892	8.573	7.573	8.955	-99.999	8.738	 8.005	9.091
-53.00042 	4.185	-52.6608	7.898	7.704	6.643	7.969	-99.999	7.571	 6.826	7.86
+47.00050 	4.29458	47.9556	5.735	5.613	4.8	6.357	-99.999	6.553	 5.859	7.05
+37.00034 	4.28375	38.6889	5.26	4.632	3.724	5.202	-99.999	5.315	 4.608	5.793
-14.00038 	4.29667	-14.1108	9.587	9.259	8.42	9.957	-99.999	10.154	 9.472	10.672
+09.00024 	4.36208	10.0222	10.249	9.876	8.764	10.036	-99.999	9.601	 8.851	9.882
          	4.35	-8.7275	16.022	14.88	13.43	14.485	-99.999	13.303	12.476	13.307
-44.00052 	4.32083	-43.8608	9.065	8.841	7.768	9.069	-99.999	8.673	 7.934	8.965
+43.00044 	4.41583	44.0056	11.468	10.514	9.068	10.108	-99.999	8.918	 8.097	8.926
          	4.41583	44.0056	14.915	13.871	12.355	13.375	-99.999	11.875	11.066	11.955
-79.00007 	4.1975	-78.7775	7.799	7.359	6.349	7.717	-99.999	7.493	 6.765	7.84
+25.00027 	4.42417	26.5889	9.807	9.189	8.28	9.742	-99.999	9.845	 9.140	10.319
-19.00030 	4.39292	-19.0608	7.226	6.932	5.954	7.352	-99.999	7.166	 6.440	7.53
-89.00001 	3.12833	-88.3606	7.902	7.189	6.326	7.832	-99.999	7.911	 7.217	8.391
-09.00040 	4.425	-8.67778	14.251	13.314	11.821	12.843	-99.999	11.82	10.988	11.785
+75.00007 	4.6075	76.2722	7.222	6.99	6.153	7.69	-99.999	7.871	 7.178	8.379
+00.00028 	4.45667	1.68889	8.313	7.667	6.403	7.573	-99.999	6.951	 6.185	7.173
-00.00035 	4.45625	0.738889	9.758	9.59	8.566	9.917	-99.999	9.596	 8.864	9.915
-04.00024 	4.45375	-3.26111	12.724	12.061	10.718	11.836	-99.999	11.205	10.423	11.33
-15.00047 	4.44583	-14.5944	12.575	12.037	10.8	11.992	-99.999	11.444	10.678	11.638
          	4.43042	-34.4611	15.245	14.453	12.95	14.008	-99.999	13.211	12.391	13.226
-53.00046 	4.40667	-52.7942	12.727	12.06	10.706	11.814	-99.999	11.198	10.413	11.335
-14.00042 	4.49667	-13.4611	7.587	7.334	6.27	7.586	-99.999	7.232	 6.494	7.536
+35.00044 	4.58417	36.7889	5.181	4.548	3.622	5.112	-99.999	5.213	 4.506	5.706
+29.00039 	4.57792	30.3722	10.09	9.062	7.636	8.702	-99.999	7.887	 7.094	8.006
          	4.5625	10.2056	14.206	13.265	11.819	12.864	-99.999	11.722	10.900	11.742
+10.00025 	4.58833	11.2056	8.526	7.751	6.419	7.547	-99.999	6.845	 6.069	7.037
-21.00031 	4.59083	-21.1444	6.807	6.552	5.699	7.221	-99.999	7.375	 6.680	7.864
-51.00060 	4.55917	-50.4778	11.782	11.173	9.979	11.209	-99.999	10.487	 9.711	10.687
+42.00048 	4.66792	43.7889	6.055	5.869	5.032	6.581	-99.999	6.78	 6.086	7.291
+30.00035 	4.65458	31.5222	6.359	5.759	4.892	6.407	-99.999	6.564	 5.864	7.063
-36.00092 	4.60333	-35.2944	12.728	12.364	11.232	12.49	-99.999	12.02	11.258	12.271
-47.00063 	4.61458	-46.5444	8.316	8.06	7.06	8.435	-99.999	8.197	 7.460	8.537
+59.00030 	4.74958	60.3219	9.947	8.586	7.593	8.974	-99.999	8.572	 7.819	8.841
-08.00038 	4.675	-8.06111	7.798	7.458	6.338	7.617	-99.999	7.197	 6.460	7.49
+00.00032 	4.70625	1.03889	12.519	11.925	10.614	11.751	-99.999	11.138	10.352	11.271
-43.00064 	4.69333	-43.2444	9.383	8.346	6.894	7.957	-99.999	7.121	 6.327	7.243
-46.00060 	4.68958	-45.9778	11.997	11.61	10.43	11.668	-99.999	11.191	10.440	11.435
-10.00047 	4.77375	-9.96111	12.975	12.099	10.617	11.642	-99.999	10.73	 9.903	10.7
-64.24095 	4.80333	-3.04472	14.139	13.217	11.711	12.723	-99.999	11.752	10.922	11.717
